title,description,uuid,date_created
Social media streams,To test the linked data hub,7585b406-d4bd-42c7-a51f-b2308c630292,2020-09-01 09:10:47
Testing dataset 1002 - JC [file],Testing SPICE LDH functionality - Jason Carvalho,a97c4741-6048-464a-9847-5f2a78719107,2020-09-03 09:40:46
JC Hidden dataset1,JC Hidden dataset1,927cc1d8-6d1e-4d6d-a897-1b113fdea4a5,2020-09-08 11:57:17
Twitter Stream - FollowArt,Results of a Twitter search on 'FollowArt',e07a0a24-1179-40a0-9138-d229d0d2157c,2020-09-08 12:18:07
File repository example,File description,544cfd44-2de5-4fca-9822-df15aa1a1016,2020-09-08 14:24:46
FTP Open Data: GAM Collection,Open data from Fondazione Torino Musei: Galleria di Arte Moderna (GAM),d6a1d487-63bb-4eb4-993c-b707248aeca5,2020-09-29 10:23:07
FTM Open Data: MAO Collection,Open data from Fondazione Torino Musei: Museo di Arte Orientale (MAO),e377c7a6-47d5-42b9-8fc4-66d7476e46e5,2020-09-29 10:53:33
FTM Open Data: Palazzo Madama Collection,Open data from Fondazione Torino Musei: Palazzo Madama,7deccc71-46f5-46d3-9c83-9785aeec4f25,2020-09-29 11:43:58
Twitter Stream - GAM Torino,Results of a Twitter search on 'GAM Torino',9fc514d5-d5a6-46b9-b203-d49c235bdc2b,2020-09-29 13:58:21
FTM Open Data: Fondo Gabinio,Open data from Fondazione Torino Musei: Fondo Gabinio,87801597-c115-4493-98b5-2e9a49864a10,2020-09-29 15:17:50
The Tate Collection,Tate Collection from https://github.com/tategallery/collection - last update on October 2014,a57c79a6-bed9-42e9-bc5d-c484c337045c,2020-10-16 11:45:50
Java Client Sandbox,Java Client Sandbox,beb9587b-c122-4877-9b0c-40bb3f192fcc,2020-11-26 16:37:46
Test stream dataset 2,Create a dataset,a25b8197-c274-4386-8d28-e63212717eac,2021-01-07 11:50:15
LDH1,LDH1,3e10457c-64da-44b0-ae30-09d0dc0cfcab,2021-01-07 16:07:16
Irish Museum of Modern Art (IMMA),Collection from https://imma.ie/,f9e601f0-06e6-4733-a791-ec42f3aab80e,2021-03-08 15:52:03
GAM_test_catalogue,A sample of 43 artefacts from the museum GAM Turin.,f1f1018c-6e72-4e95-953e-889d9ae0c914,2021-03-15 13:07:34
